,Emotion,text_de,Text
0,sadness,Allen Abschiedsschmerz hatte Hannes Drohung verscheucht.,
1,sadness,Ob ihn nun der Abschiedsschmerz packen würde?,
2,sadness,"Man hatte, im Schreck und Abschiedsschmerz das Einpacken total vergessen.",
3,sadness,Keine Spur von Abschiedsschmerz!,
4,sadness,Aber wir sind beide sehr tapfer und machen uns keine Abschiedsschmerzen.,
5,anger,Reduziere deine Affronts nicht auf den Fuß- oder Mundgeruch deines Stuben-E.«,
6,anger,Ich fasse Euer Verhalten als Affront auf.,
7,anger,Stern wandte sich gegen den Ausdruck Affront.,
8,anger,Die Bitterkeit des Affronts.,
9,anger,"Er umgehe Aggressionen, indem er geduldig sei und sich füge.",
10,anger,Der Vorwurf der sexuellen Aggression sei dagegen nicht erwiesen.,
11,anger,Dies führt übrigens auch zu starker Aggression untereinander.,
12,anger,"Solidarität, Gleichgültigkeit und Aggression bestimmten auch hier die Verhaltensweisen der Bevölkerung.",
13,anger,Wir dürfen nicht die Gerechtigkeit aufgeben und Aggression belohnen.,
14,anger,Ich traf auf geballte Aggression und Gewalt.,
15,joy,Aber allesamt spielten sie amüsant und witzig mit den Verhältnissen.,
16,joy,Das ist amüsant genug.,
17,joy,"Optimistische, konstruktive oder amüsante Gespräche sind hier gefragt.",
18,joy,Es war größtenteils recht amüsant.,
19,joy,"Für das »Journal pourire« schuf er amüsante, anekdot.",
20,joy,"Die Nächte, die er in meiner Wohnung verbrachte, verliefen ausgesprochen amüsant.",
21,joy,Es gibt eine weitere und recht amüsante Ursache der Willkürlichkeit.,
22,joy,"Es war amüsant, Horst zu beobachten.",
23,joy,"Wer hierher kommt, will Amüsement, keinen Lehrfilm.",
24,joy,Alles andere ist Amüsement.,
25,joy,Es war eine Art Amüsement mit eventueller Gewinnchance.,
26,joy,Hier sind wir zum Amüsement.,
27,joy,Amüsement ist hier eine Arbeit.),
28,anger,- ›Sie machen mich ärgerlich.,
29,anger,"Aus neugierigen Blicken wurden ärgerliche, aus geschäftigem Stimmengemurmel bösartiges Gemaule.",
30,anger,Für den Wirtschaftsminister ist das ärgerlich:,
31,anger,Noch ärgerlicher hat es die neuen Lufthansa-Aktionäre getroffen.,
32,anger,fragte Lisa ärgerlich.,
33,anger,"Mit wem denn sonst"""", gab Frau Werner ärgerlich zurück.",
34,anger,fragte sie ärgerlich.,
35,anger,"Jetzt hör mir mal gut zu, mein Lieber"""", sagte Lucie ärgerlich.",
36,anger,Mein Vater klang mehr ärgerlich als besorgt.,
37,anger,Onkel Willi sagte ärgerlich:,
38,anger,"Hör endlich auf"""", sagte Lisa ärgerlich.",
39,anger,"fragt Zeus, ärgerlich über die Störung.",
40,anger,Lisa warf Wassili einen ärgerlichen Blick zu.,
41,anger,"Zeus blickt ärgerlich auf Athene, die keinen Widerspruch wagt.",
42,anger,"Ach, ist das ärgerlich.""""",
43,anger,"Wir hatten uns einen Altersbauch angefressen.""""",
44,anger,"Endlich eine Leiche, blau angelaufen, angefressen, entsetzlich.",
45,anger,"Das schlecht besetzte Parkett sah zerzaust aus, wie von Motten angefressen.",
46,anger,Oder hat der Verfall nicht das Rechtsgewissen angefressen?,
47,anger,"Die Form ist angefressen, an vielen Stellen gesprengt, hinfällig und unnütz.",
48,joy,Seine Augen sind so angenehm temperiert für sie.,
49,joy,Man sah und wurde gesehen und empfand genau das als angenehm.,
50,joy,Kein angenehmer Ort.,
51,joy,Damit hatte es sich aber schon mit den angenehmen Zerstreuungen.,
52,joy,gerade angenehm.,
53,joy,Es war ein angenehmes Gefühl.,
54,anger,Sehr wütend.,
55,anger,Ich kann manchmal sehr wütend werden; dann kann ich sofort draufhauen.,
56,anger,Der Stollentroll richtete sich auf und sah mich wütend an.,
57,anger,Jetzt war er richtig wütend.,
58,anger,Was zu wütenden Angriffen der Springerpresse gegen die Verteidiger führte.,
59,anger,Der düpierte Baron ist wütend (Duett Un segreto d'importanza).,
60,anger,In diesem Moment platzt Antonio wütend herein:,
61,anger,Man geht wütend auseinander.,
62,fear,"»Ach, Ada kann sich schon wehren, die hat keine Angst, nee.",
63,fear,Die Schüleraufsätze protokollieren das Schwanken zwischen Angst und Hoffnung minutiös.,
64,fear,Aber die Angst saß mit im Raum und lähmte das Gespräch:,
65,fear,Aus Angst?,
66,fear,Ein haß- und angsterfülltes Interesse.,
67,fear,Seine erste angsterfüllte Frage war: « Und Juliette?,
68,fear,"Da erst sah ihm das Mädchen mit grossen, angsterfüllten Augen nach.",
69,fear,Diese Zuversicht ließ ein Angstgefühl bei ihm überhaupt nicht aufkommen.,
70,fear,"Aussagen, die geeignet sind, Angstgefühle hervorzurufen oder auszunutzen,",
71,fear,"Zu hoch dosiert, erzeugt es Herzrasen, Muskelzittern und Angstgefühle.",
72,fear,Irritation oder Angstgefühle erzeugte Goya durch ästhetisch unmittelbar wirksame Darstellungsstrategien.,
73,fear,"Das Angstgefühl des Alleinseins, des Begrabenseins, des Vergessenseins vorm Tode.",
74,fear,Darüber wachte ich mit einem scheußlichen Angstgefühl auf.,
75,fear,"Anzeichen: Brennen der Haut, Schwindel, Bewußtlosigkeit, Angstgefühl, starkes Schlagen der Adern.",
76,fear,Bones durchschauerte plötzlich ein jähes Angstgefühl.,
77,fear,Ein unheimliches Angstgefühl packte ihn.,
78,fear,Ich stieg nicht ohne Angstgefühl ein.,
79,fear,"Aber der Lehrer tröstete mich, ich solle mich nicht ängstigen.",
80,fear,"Laß dich nicht ängstigen, wenn kleine erotische Schwingungen dabei sind.",
81,fear,"Ängstliche, leistungsschwache, unmotivierte und angepaßte Egoisten""""!",
82,fear,"Ängstlich und couragiert, versöhnlich und unversöhnlich.",
83,anger,Janosch ist zornig.,
84,anger,Janosch dreht sich zornig um.,
85,anger,Janosch macht ein zorniges Gesicht.,
86,anger,"Hinten im Publikum ist ein zorniger, alter Mann aufgestanden.",
87,anger,Der zornige Mann schweigt.,
88,anger,Ich habe heilige Namen zornig ausgesprochen.,
89,anger,"Dann werde er, der Ewige, aber doch zornig über dieses Pack.",
90,anger,"Wenn mich jemand darauf hingewiesen hat, wurde ich zornig.",
91,anger,Lisa wurde zornig auf Willi.,
92,anger,Sie war zornig und fror.,
93,anger,Hera fährt Athene zornig an:,
94,anger,"Ich brauche frische Luft"""", gab sie zornig zurück.",
95,anger,zornig werden.,
96,fear,Die Ängstlichkeit um Maße und Potenzen war umsonst.,
97,fear,Und keine Ängstlichkeit.,
98,fear,- In den ersten Wochen war sie steif vor Ängstlichkeit.,
99,fear,"Ängstlichkeit, Phobien, Angstträume",
100,fear,"Oft allerdings verbergen Kinder ihre Ängstlichkeit, weil sie sich schämen.",
101,fear,Deshalb gibt es wenig Unruhe und Ängstlichkeit.,
102,fear,Die von ihnen ausstrahlende Ängstlichkeit und Unruhe muß Kinder zwangsläufig verwirren.,
103,fear,"Jernutschow sah erschüttert in das fahle, angstverzerrte Gesicht.",
104,fear,"Die eine, Silvia Hahn, rief dann angstvoll:",
105,fear,fragte sie angstvoll.,
106,fear,Förstes flatterndes Herz duckte sich angstvoll.,
107,fear,Auch dürfte er unsere Zone u. unsern Sektor angstvoll meiden.,
108,fear,Ich denke angstvoll an unsere Reise-Erfahrungen während der Weimarer Republik.,
109,anger,Der Abstimmungsprozeß ist umständlich und durchaus von Eitelkeiten und Animositäten geprägt.,
110,anger,"Die Animositäten zwischen ihm, Stoiber und Waigel sind bekannt.",
111,anger,Trotz der Animosität des kath.,
112,anger,"Was sie mich anpissen läßt, das ist ihre geistige Haltung.",
113,anger,Wegen dieses verrückten Menüs stand übrigens einiger Ärger ins Haus.,
114,anger,Und daraus sollte dem Verfassungsschutz noch viel Ärger erwachsen.,
115,anger,Dann setzt es halt Ärger.,
116,anger,Der Ärger ist durchaus verständlich.,
117,anger,Die rot-grüne Koalition hat dies zum Ärger der Wirtschaft rückgängig gemacht.,
118,anger,"Das gab, wie nicht anders zu erwarten, Ärger.",
119,anger,"Und der Ärger, weil sich die Bombardements zunehmend als Bumerang erweisen:",
120,anger,"Er soll das Gespräch suchen und führen, wenn es Ärger gibt.",
121,anger,Prompt gab es Ärger mit der politischen Polizei.,
122,anger,Den Ärger wünscht man auch lieber der Konkurrenz.,
123,anger,"Alle haben Ärger, alle!«",
124,anger,30 Ärger um die Villa Kellermann,
125,anger,Am Anfang stand der Ärger.,
126,anger,"Ärger über ein Wäldchen unfroher Fichten, die einfach nicht vorankommen wollten.",
127,anger,"Was macht mehr Spaß, als andere Leute zu ärgern?",
128,anger,Hart Arbeiten ist niemals so belastend wie hart ärgern.,
129,anger,Nur das Ärgernis Graffiti kühlt nicht ab.,
130,anger,Der langhaarige Alt-68er-Graubart neben ihm wirkt wie ein öffentliches Ärgernis.,
131,anger,Erregung öffentlichen Ärgernisses.,
